"game_id","play_id","play_out","reached_base_on_error","error","fielding_chance","launch_angle","exit_velocity","fielder_angle","fielder_distance","fielder_burst_distance","fielder_reaction_distance","fielder_routing_distance","fielder_jump_distance","start_player_angle","end_player_angle","start_player_position","end_player_position","fielding_zone"
717399,a5605b7e-4b82-4db1-ab9b-50be26cca0d0,1,0,0,1,-34.843155,98.214391,68.776,49.517,23.565,7.674,2.136,28.687,-35.579,-35.567,120.374,120.375,Standard Back
717399,ba3906c4-df3f-4e4d-be4d-a7512fc82c45,1,0,0,1,71.103264,74.296882,-56.559,90.527,31.513,8.158,2.301,36.89,-26.795,-59.628,136.611,135.401,Back
717399,ee6d08c9-cbc2-4291-b05e-c11103d011f6,1,0,0,1,-24.249598,71.181973,3.554,70.492,27.553,7.814,5.895,29.018,-35.298,-35.305,119.88,119.808,Standard Back
717399,f1375fe2-f6c5-484b-a3b5-b3064b6773ad,1,0,0,1,6.630467,109.414423,,6.365,5.638,6.642,3.993,7.956,-36.272,-37.21,119.706,117.694,Standard Back
717400,"25e32358-e820-4ada-bf19-3ab0e02fd0d5",1,0,0,1,69.547357,85.908978,-63.691,63.507,27.001,9.259,2.773,33.024,-31.792,-53.076,113.948,155.829,Standard Back
717400,ae588313-9adc-4830-91ad-2a3dbf614c7b,0,1,1,1,74.904832,97.254331,-128.236,68.579,9.226,3.302,3.475,8.946,-38.2,-36.139,88.655,120.118,Guarding Line
717400,ba0dd460-3742-444c-a243-12a6b667d9c3,1,0,0,1,6.722646,108.078122,,,1.308,2.668,1.251,2.67,-37.581,-37.694,127.374,125.904,Standard Back
717401,"11983be7-b2d8-4bf9-90ab-5f9ff7c166a8",1,0,0,1,72.720505,81.316186,22.216,31.453,12.826,4.119,0.851,15.841,-37.885,-48.11,119.233,89.898,Standard Back
717401,"287cd6aa-c259-4ef6-9757-1b9e7620db51",1,0,0,1,-53.953391,64.431512,62.164,79.064,32.314,7.874,1.084,38.612,-35.965,-35.97,118.654,118.639,Standard Back
717401,"30af8668-d4e3-4907-8a51-30e94f0051f7",1,0,0,1,-55.471128,66.456329,66.393,95.571,33.856,8.892,1.425,40.77,-36.098,-36.102,122.982,122.978,Standard Back
717401,"645c0fa0-58ab-45c4-8d1c-925d5ab90af2",1,0,0,1,-1.253276,97.710280,105.862,25.774,13.935,2.567,4.57,11.837,-24.644,-24.702,111.096,111.028,Standard Back
717401,"860c4f59-a943-4e3f-8d49-6623091ae26c",1,0,0,1,0.002604,106.505816,,1.445,2.484,4.102,2.023,4.44,-30.624,-30.702,88.663,88.69,Standard In
